Reference, Value, Footprint, Datasheet
R167,1meg,MyModules:SM0603-R-JRL,
R165,47K,MyModules:SM0603-R-JRL,
R166,6.8K,MyModules:SM0603-R-JRL,
C48,220p,MyModules:SM0603-C-JRL,
C41,0.015μ,MyModules:SM0603-C-JRL,
C42,0.015μ,MyModules:SM0603-C-JRL,
U12,4558,MyModules:TSSOP8-JRL,
R171,220,MyModules:SM0603-R-JRL,
VR5,10K(C),MyModules:RD901F-ALPHA-POT,
R172,10K,MyModules:SM0603-R-JRL,
R168,22K,MyModules:SM0603-R-JRL,
VR6,500K(B),MyModules:RD901F-ALPHA-POT,
C43,33μ,MyModules:2MM-POL-CAP,
R170,470K,MyModules:SM0603-R-JRL,
C47,0.47μ,MyModules:2MM-POL-CAP,
C45,0.1μ,MyModules:SM0603-C-JRL,
VR4,100K(A),MyModules:RD901F-ALPHA-POT,
C49,0.47μ,MyModules:2MM-POL-CAP,
R177,82K,MyModules:SM0603-R-JRL,
Q44,MMBT3904,MyModules:SOT23-132-JRL,
R176,100K,MyModules:SM0603-R-JRL,
R173,6.8K,MyModules:SM0603-R-JRL,
C50,1μ,MyModules:2MM-POL-CAP,
R174,100K,MyModules:SM0603-R-JRL,
R175,1K,MyModules:SM0603-R-JRL,
Q50,MMBT3904,MyModules:SOT23-132-JRL,
Q51,MMBT3906,MyModules:SOT23-132-JRL,
R213,10K,MyModules:SM0603-R-JRL,
R214,4.7K,MyModules:SM0603-R-JRL,
R211,22K,MyModules:SM0603-R-JRL,
R212,10K,MyModules:SM0603-R-JRL,
R215,4.7K,MyModules:SM0603-R-JRL,
R219,4.7K,MyModules:SM0603-R-JRL,
C73,0.0068μ,MyModules:SM0603-C-JRL,
D56,1N4148,MyModules:SOD323-C1A2,
R226,22K,MyModules:SM0603-R-JRL,
R224,1.5K,MyModules:SM0603-R-JRL,
D55,1N4148,MyModules:SOD323-C1A2,
C72,0.039μ,MyModules:SM0603-C-JRL,
R225,4.7K,MyModules:SM0603-R-JRL,
R218,2.2meg,MyModules:SM0603-R-JRL,
C71,0.047μ,MyModules:SM0603-C-JRL,
R220,33K,MyModules:SM0603-R-JRL,
R217,3.3K,MyModules:SM0603-R-JRL,
Q52,MMBT3904,MyModules:SOT23-132-JRL,
