Reference, Value, Footprint, Datasheet
C48-1,0.0015μ,MyModules:SM0603-C-JRL,
C59-1,0.0015μ,MyModules:SM0603-C-JRL,
Q25,MMBT3904,MyModules:SOT23-132-JRL,
D12,1N4148,MyModules:SOD323-C1A2,
C10,0.0033μ,MyModules:SM0603-C-JRL,
R52,33K,MyModules:SM0603-R-JRL,
C13,0.0068μ,MyModules:SM0603-C-JRL,
R56,560,MyModules:SM0603-R-JRL,
C14,0.0068μ,MyModules:SM0603-C-JRL,
R265,82K,MyModules:SM0603-R-JRL,
C46,0.022μ,MyModules:SM0603-C-JRL,
R103-1,1meg,MyModules:SM0603-R-JRL,
R102-1,1meg,MyModules:SM0603-R-JRL,
Q18,MMBT3904,MyModules:SOT23-132-JRL,
R101-3,100,MyModules:SM0603-R-JRL,
R127,82K,MyModules:SM0603-R-JRL,
R124-1,22K,MyModules:SM0603-R-JRL,
R292,22K,MyModules:SM0603-R-JRL,
C58-1,0.01μ,MyModules:SM0603-C-JRL,
R123-1,100K,MyModules:SM0603-R-JRL,
C57-1,0.0033μ,MyModules:SM0603-C-JRL,
R121-1,10K,MyModules:SM0603-R-JRL,
C49-1,0.0033μ,MyModules:SM0603-C-JRL,
C53-1,0.001μ,MyModules:SM0603-C-JRL,
R295,6.8K,MyModules:SM0603-R-JRL,
VR-1,20K(B),MyModules:RD901F-ALPHA-POT,
R109,18K,MyModules:SM0603-R-JRL,
R108-1,18K,MyModules:SM0603-R-JRL,
R110,39K,MyModules:SM0603-R-JRL,
C55-1,0.01μ,MyModules:SM0603-C-JRL,
R112-1,22K,MyModules:SM0603-R-JRL,
R119-1,22K,MyModules:SM0603-R-JRL,
C54-1,0.001μ,MyModules:SM0603-C-JRL,
R111,22K,MyModules:SM0603-R-JRL,
R125,2.2K,MyModules:SM0603-R-JRL,
C90-1,0.01μ,MyModules:SM0603-C-JRL,
R118-1,47K,MyModules:SM0603-R-JRL,
C77-1,220p,MyModules:SM0603-C-JRL,
R128-1,470K,MyModules:SM0603-R-JRL,
VR6-1,100K(A),MyModules:RD901F-ALPHA-POT,
C78-1,33μ,MyModules:2MM-POL-CAP,
R166-1,1K,MyModules:SM0603-R-JRL,
Q2,MMBT3904,MyModules:SOT23-132-JRL,
Q6,MMBT3906,MyModules:SOT23-132-JRL,
R10-1,22K,MyModules:SM0603-R-JRL,
R15,4.7K,MyModules:SM0603-R-JRL,
R3-1,22K,MyModules:SM0603-R-JRL,
R6-1,10K,MyModules:SM0603-R-JRL,
R83,22K,MyModules:SM0603-R-JRL,
Q4,MMBT3904,MyModules:SOT23-132-JRL,
Q8,MMBT3906,MyModules:SOT23-132-JRL,
